T,NNODES,h,J,NRUNS,EQNUMBER,SAMPLING_FREQ,WMIN,WMAX,TOPOLOGY,PROBABILITY,KNEIGHBOURS,UID
0.12277302540893882,820.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,3f523ed0-de1d-4103-971c-b5655ecca14c
0.04857396597760676,850.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,ce9194f1-b0b5-4c6a-a00c-2876ef5a7e3e
0.05495939898903671,870.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,1ea170fa-d2a7-42bd-b193-81fec12f04f4
0.04838842642915238,890.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,20f613bd-136e-43d4-a5f7-54729391b1fd
0.09069155197791172,980.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,761f4a58-d375-4727-ad35-7a472649142d
0.0583952409031566,1030.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,dc1539af-962b-4ba2-a961-35b9c8efe5cf
0.06176539350296219,1040.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,03a88f97-1c91-4725-b0c7-32cb1f2189af
0.14589206776108554,1090.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,2b1a447e-4851-489b-825b-6fc4cb396ca6
0.07765043002887151,1130.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,ce747d18-f0bf-44b3-8630-a5e2e3285950
0.03929980865068136,1140.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,720a4602-0e13-4e4a-9e13-6c72de65d548
0.046074152818178574,1150.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,444ee224-8d07-46e5-863d-7d17b74874f4
0.12197232623552358,1160.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,5ae3b2c3-921c-42d2-b869-310c52377564
0.05930459228990032,1210.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,f4aa7385-ee44-4add-88f8-cd1fdb0db38f
0.06866046849830339,1220.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,10de4e61-6a21-40cb-8357-03bab939d668
0.0793588679867166,1230.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,39ef16c0-75df-49fc-9291-7b24445e4312
0.10125586835083393,1260.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,0fb24ca5-3fda-473e-95d7-75fecfcfb509
0.07802252645741428,1290.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,15c1de19-6b3c-403b-829a-c4a8fb375857
0.0564255186190029,1300.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,badac8d0-d944-4d60-b525-85703921f723
0.02787825939717405,1310.0,0.01,30.0,100.0,0.0,1.0,1.3,0.3,0.0,0.5,3.0,4e187dce-8c35-4c90-a0dc-09185ba2ecb2
